Stock #,Shape,Size,Color,Clarity,Cut Grade,Polish,Symmetry,Cash Price,Cash Discount %,Certificate #,Certificate Filename,Cert Comment,Country,Crown Angle,Crown Height,Culet Size,,Depth %,Diamond Image,Display Cert Number,Eye Clean,Sarine Name,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Fluorescence Color,Fluorescence Intensity,Girdle %,Girdle Condition,Girdle Thick,Girdle Thin,Lab,Measurements,Member Comments,Pair Stock #,Parcel Stones,Pavilion Angle,Pavilion Depth,RapNet Discount %,RapNet Price,Shape,State,Star Length,Table %,Trade Show,BGM,Full List Price,Second Site,,,,,,
3410,    ,0,D,SI2, Inde,,PS,,,1323138625,1323138625.pdf,Clouds are not shown. Pinpoints are not shown.   K.T.S:Crystal, Feather, Cavity, Knot, Needle,,ISRAEL,0,0,NON,,62.9,,Y,,,        ,,,,NON,0,Faceted,VTK,STK,GIA,8.89 x  5.45 x  3.43,,,    ,EX,-0.38,1,,0,AG114-03,VG,55,,,0,,
AG116-06A,RBC,1.01,F,SI2,VG,EX,VG,,,364907669,,,ISRAEL,0,0,,,59.7,,Y,,,        ,,,,NONE,0,,,,IGI,6.38 x  6.45 x  3.84,,,,    ,0,-0.47,3392,RBC,,0,64,,,0,,,,,,,
AG116-06C,RBC,1,G,SI2,VG,VG,VG,,,361907670,,,ISRAEL,0,0,,,63.8,,Y,,,        ,,,,VERY SLIGHT,0,,,,IGI,6.26 x  6.29 x  4.00,,,,    ,0,-0.47,3180,RBC,,0,63,,,0,,,,,,,
AG116-06D,RBC,1,G,SI2,G,VG,VG,,,361907672,,,ISRAEL,0,0,,,59.8,,Y,,,        ,,,,NONE,0,,,,IGI,6.35 x  6.40 x  3.81,,,,    ,0,-0.47,3180,RBC,,0,64,,,0,,,,,,,
AG116-06E,RBC,1.04,E,SI2,VG,VG,VG,,,361907668,,,ISRAEL,0,0,,,61,,Y,,,        ,,,,VERY SLIGHT,0,,,,IGI,6.43 x  6.46 x  3.93,,,,    ,0,-0.47,3551,RBC,,0,63,,,0,,,,,,,
AG238-01,RBC,2.08,E,SI2,EX,EX,EX,,,361964503,,,ISRAEL,0,0,,,63.5,,Y,,,        ,,,,VERY SLIGHT,0,,,,IGI,8.05 x  8.13 x  5.13,,,,    ,0,-0.45,6050,RBC,,0,55,,,0,,,,,,,
5950,41,43.5,I,SI2, Ind,,RBC,,,7306373000,7306373000.pdf,Additional twinning wisps, clouds and surface grai   K.T.S:Twinning Wisp, Feather, Crystal, Needle,,ISRAEL,36,15,NON,EX,62.6,https://segoma.com/v.aspx?type=view&id=T2W171HONB,Y,,,        ,,,,NON,0,Faceted,STK,MED,GIA,8.63 x  8.59 x  5.39,,,41,EX,-0.3,2.5,,55,AG255-04,EX,59,,,0,,
AG347-02,RBC,3.01,,,,,,,,,,,ISRAEL,0,0,,,0,,Y,,,        ,,,,,0,,,,,,,,,    ,0,     ,5000,RBC,,0,  ,,,0,,,,,,,
AG554-01,RBC,5.02,I,SI2,EX,EX,EX,,,337825737,,,ISRAEL,13.5,0,P,,61.1,https://segoma.com/v.aspx?type=view&id=K8RN2LHKA9,Y,,,        ,,,,NONE,0,,,MEDIUM,IGI,10.98 x 11.03 x  6.72,,,,    ,43.5,-0.4,10200,RBC,,0,60,HK-March2019,,0,,,,,,,
,-0.4,1740,D,VVS1,15.5,41.2,55,,,3295057548,3295057548.pdf,K.T.S:Feather, Chip, Natural,ISRAEL,35.5,,NON,VG,62.9,,Y,,,        ,,,,FNT,0,Faceted,STK,MED,GIA,4.37 x  4.34 x  2.74,,,,43.5,EX,-0.4,RBC,0.32,AZ001-48,VG,57,,,0,,,,,
