Allow RapLink Feed,Availability,Cash Price,Cash Discount %,Certificate #,Certificate Filename,Clarity,Color,Cert Comment,Country,Crown Angle,Crown Height,Culet Size,Cut Grade,Depth %,Diamond Image,Display Cert Number,Eye Clean,Sarine Name,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Fluorescence Color,Fluorescence Intensity,Girdle %,Girdle Condition,Girdle Thick,Girdle Thin,Lab,Measurements,Member Comments,Pair Stock #,Parcel Stones,Pavilion Angle,Pavilion Depth,Polish,RapNet Discount %,RapNet Price,Shape,Size,State,Star Length,Stock #,Symmetry,Table %,Trade Show,BGM,Full List Price,Second Site
Y,,,,1323138625,1323138625.pdf,SI2,D,Clouds are not shown. Pinpoints are not shown.   K.T.S:Crystal; Feather; Cavity; Knot; Needle; Inde,ISRAEL,0.0,0.0,NON,,62.9,,Y,,,        ,,,,NON,0.00,Faceted,VTK,STK,GIA,8.89 x  5.45 x  3.43,,,,    , 0.0,EX,-0.38,3410,PS, 1.00,,  0,AG114-03,VG,55,,,0,
Y,,,,364907669,,SI2,F,,ISRAEL,0.0,0.0,,VG,59.7,,Y,,,        ,,,,NONE,0.00,,,,IGI,6.38 x  6.45 x  3.84,,,,    , 0.0,EX,-0.47,3392,RBC, 1.01,,  0,AG116-06A,VG,64,,,0,
Y,,,,361907670,,SI2,G,,ISRAEL,0.0,0.0,,VG,63.8,,Y,,,        ,,,,VERY SLIGHT,0.00,,,,IGI,6.26 x  6.29 x  4.00,,,,    , 0.0,VG,-0.47,3180,RBC, 1.00,,  0,AG116-06C,VG,63,,,0,
Y,,,,361907672,,SI2,G,,ISRAEL,0.0,0.0,,G,59.8,,Y,,,        ,,,,NONE,0.00,,,,IGI,6.35 x  6.40 x  3.81,,,,    , 0.0,VG,-0.47,3180,RBC, 1.00,,  0,AG116-06D,VG,64,,,0,
Y,,,,361907668,,SI2,E,,ISRAEL,0.0,0.0,,VG,61.0,,Y,,,        ,,,,VERY SLIGHT,0.00,,,,IGI,6.43 x  6.46 x  3.93,,,,    , 0.0,VG,-0.47,3551,RBC, 1.04,,  0,AG116-06E,VG,63,,,0,
Y,,,,361964503,,SI2,E,,ISRAEL,0.0,0.0,,EX,63.5,,Y,,,        ,,,,VERY SLIGHT,0.00,,,,IGI,8.05 x  8.13 x  5.13,,,,    , 0.0,EX,-0.45,6050,RBC, 2.08,,  0,AG238-01,EX,55,,,0,
Y,,,,7306373000,7306373000.pdf,SI2,I,Additional twinning wisps; clouds and surface grai   K.T.S:Twinning Wisp; Feather; Crystal; Needle; Ind,ISRAEL,36.0,15.0,NON,EX,62.6,https://segoma.com/v.aspx?type=view&id=T2W171HONB,Y,,,        ,,,,NON,0.00,Faceted,STK,MED,GIA,8.63 x  8.59 x  5.39,,,,41.0,43.5,EX,-0.30,5950,RBC, 2.50,, 55,AG255-04,EX,59,,,0,
Y,,,,,,,,,ISRAEL,0.0,0.0,,,0.0,,Y,,,        ,,,,,0.00,,,,,,,,,    , 0.0,,     ,5000,RBC, 3.01,,  0,AG347-02,,  ,,,0,
Y,,,,337825737,,SI2,I,,ISRAEL,13.5,0.0,P,EX,61.1,https://segoma.com/v.aspx?type=view&id=K8RN2LHKA9,Y,,,        ,,,,NONE,0.00,,,MEDIUM,IGI,10.98 x 11.03 x  6.72,,,,    ,43.5,EX,-0.40,10200,RBC, 5.02,,  0,AG554-01,EX,60,HK-March2019,,0,
Y,,,,3295057548,3295057548.pdf,VVS1,D,K.T.S:Feather; Chip; Natural,ISRAEL,35.5,15.5,NON,VG,62.9,,Y,,,        ,,,,FNT,0.00,Faceted,STK,MED,GIA,4.37 x  4.34 x  2.74,,,,41.2,43.5,EX,-0.40,1740,RBC, 0.32,, 55,AZ001-48,VG,57,,,0,
Y,,,,2176709793,2176709793.pdf,VS2,D,,ISRAEL,32.5,11.5,NON,VG,60.0,https://segoma.com/v.php?type=inner&id=JFVF3ZPEHH,Y,,,        ,,,,STG,0.00,Faceted,STK,MED,GIA,4.40 x  4.38 x  2.63,,,,42.0,45.0,EX,-0.35,1625,RBC, 0.31,, 50,AZ003-17,VG,64,,,0,
Y,,,,1179522732,1179522732.pdf,VS2,D,,ISRAEL,36.5,15.5,NON,VG,62.4,https://segoma.com/v.php?type=inner&id=M6053JSLFF,Y,,,        ,,,,MED,0.00,Faceted,THK,MED,GIA,4.71 x  4.66 x  2.92,,,,40.4,42.5,VG,-0.35,1885,RBC, 0.40,, 50,AZ003-19,VG,58,,,0,
Y,,,,3315419616,3315419616.pdf,VS2,D,K.T.S:Twinning Wisp,ISRAEL,0.0,0.0,NON,,63.8,https://segoma.com/v.aspx?type=view&id=WVPJGYNAAX,Y,,,        ,,,,NON,0.00,Faceted,VTK,THN,GIA,7.04 x  5.18 x  3.30,,,,    , 0.0,VG,-0.33,3082,OV, 0.80,,  0,AZ003-48,G,58,HK-March2019,,0,
Y,,,,5176715538,5176715538.pdf,VS2,D,,ISRAEL,31.5,12.5,NON,G,58.8,https://segoma.com/v.php?type=inner&id=FDMU6Z6SFF,Y,,,        ,,,,NON,0.00,Faceted,THK,STK,GIA,4.37 x  4.34 x  2.56,,,,40.2,42.0,EX,-0.35,1625,RBC, 0.30,, 50,AZ003-9,VG,59,,,0,
Y,,,,3404164628,,VVS2,E,,ISRAEL,0.0,0.0,,,70.4,,Y,,,        ,,,,NONE,0.00,Polished,,MED;,EGL Israel,4.15 x  4.29 x  2.92,,,,    , 0.0,EX,-0.60,1040,RAD, 0.40,,  0,AZ011-15,EX,66,,,0,
Y,,,,6262354062,6262354062.pdf,VVS1,D,K.T.S:Pinpoint; Cloud,ISRAEL,32.5,11.5,NON,G,57.1,https://segoma.com/v.php?type=inner&id=IVP0PNDUCC,Y,,,        ,,,,NON,0.00,Faceted,MED,THN,GIA,6.16 x  6.14 x  3.51,,,,40.6,43.0,VG,-0.23,5390,RBC, 0.80,, 55,AZ012-24,VG,64,,,0,
Y,,,,3404164527,,VS1,E,,ISRAEL,0.0,0.0,,,67.2,,Y,,,        ,,,,NONE,0.00,Polished,,MED;,EGL Israel,4.24 x  4.79 x  2.85,,,,    , 0.0,VG,-0.50,1200,PR, 0.47,,  0,AZ012-79,VG,83,,,0,
Y,,,,2294053224,2294053224.pdf,VVS2,F,K.T.S:Cloud; Feather; Pinpoint,ISRAEL,36.5,15.5,VSM,G,61.1,,Y,,,        ,,,,NON,0.00,Faceted,MED,THN,GIA,4.86 x  4.83 x  2.96,,,,40.8,43.0,VG,-0.33,1943,RBC, 0.42,, 50,AZ021-46,F,59,,,0,
Y,,,,7296054202,7296054202.pdf,VS2,E,K.T.S:Crystal; Indented Natural,ISRAEL,36.0,15.5,SML,F,65.3,,Y,,,        ,,,,FNT,0.00,Faceted,ETK,THK,GIA,4.14 x  4.10 x  2.69,,,,40.8,42.5,VG,-0.39,1464,RBC, 0.30,, 55,AZ023-78,G,57,,,0,
Y,,,,2161064416,2161064416.pdf,VVS1,G,K.T.S:Feather; Chip; Indented Natural,ISRAEL,34.5,15.5,NON,VG,63.5,https://segoma.com/v.aspx?type=view&id=B7MGH36KUI,Y,,,        ,,,,NON,0.00,Faceted,MED,THN,GIA,5.98 x  5.95 x  3.79,,,,42.0,44.5,VG,-0.15,4505,RBC, 0.81,, 45,AZ030-21,VG,55,,,0,
Y,,,,6295053761,6295053761.pdf,VVS2,G,K.T.S:Needle; Pinpoint; Feather; Indented Natural,ISRAEL,38.0,15.0,NON,G,63.0,,Y,,,        ,,,Blue,MED,0.00,Faceted,STK,THN,GIA,4.75 x  4.70 x  2.98,,,,41.2,43.5,G,-0.35,1820,RBC, 0.42,, 55,AZ031-26,G,61,,,0,
Y,,,,7288802150,7288802150.pdf,VS1,G,K.T.S:Feather,ISRAEL,0.0,0.0,NON,,63.9,,Y,,,        ,,,,NON,0.00,,STK,MED,GIA,6.97 x  3.31 x  2.11,,AZ043-54,,    , 0.0,EX,     ,2500,BG, 0.50,,  0,AZ032-18,EX,73,HK-March2019,,0,
Y,,,,2296058425,2296058425.pdf,VS1,F,K.T.S:Feather; Knot,ISRAEL,30.5,12.5,NON,G,58.3,,Y,,,        ,,,,FNT,0.00,Faceted,VTK,MED,GIA,4.73 x  4.67 x  2.74,,,,40.2,42.5,VG,-0.33,1608,RBC, 0.37,, 55,AZ032-56,G,59,,,0,
Y,,,,3404164729,,VS1,G,,ISRAEL,0.0,0.0,,,75.4,,Y,,,        ,,,,NONE,0.00,Polished,,MED;,EGL Israel,4.23 x  4.75 x  3.19,,,,    , 0.0,EX,-0.60,1080,RAD, 0.50,,  0,AZ032-87,EX,79,,,0,
Y,,,,2298057614,2298057614.pdf,VS1,G,K.T.S:Crystal,ISRAEL,37.5,15.5,NON,G,64.6,,Y,,,        ,,,,FNT,0.00,Faceted,VTK,THN,GIA,4.67 x  4.60 x  2.99,,,,41.6,44.0,VG,-0.38,1674,RBC, 0.41,, 50,AZ032-89,F,60,,,0,
Y,,,,,,SI3,D,,ISRAEL,0.0,0.0,,,0.0,,Y,,,        ,,,,,0.00,,,,,,,,,    , 0.0,,     ,2100,BG, 1.42,,  0,AZ033-45,,  ,HK-March2019,,0,
